09:00:22,37.60,2,4,42.84_42.85_,1_2_,37.60_37.20_36.80_,1_4_5_
11:00:38,37.93,3,14,38.25_38.26_42.84_42.85_,10_10_1_2_,38.14_37.87_37.86_37.85_37.20_,5_10_10_10_4_
11:02:21,37.93,3,14,38.26_38.27_42.84_42.85_,10_10_1_2_,38.07_37.88_37.87_37.86_37.20_,5_10_10_10_4_
11:03:58,37.93,3,14,38.26_38.27_42.84_42.85_,10_10_1_2_,38.07_37.88_37.87_37.86_37.20_,5_10_10_10_4_
11:04:08,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,38.08_37.95_37.94_37.93_37.20_,5_10_10_10_4_
11:04:13,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,38.15_37.95_37.94_37.93_37.20_,5_10_10_10_4_
11:04:19,37.93,3,14,38.26_38.27_42.84_42.85_,10_10_1_2_,38.15_37.88_37.87_37.86_37.20_,5_10_10_10_4_
11:04:24,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,38.08_37.95_37.94_37.93_37.20_,5_10_10_10_4_
11:05:41,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,38.15_37.94_37.93_37.92_37.20_,5_10_10_10_4_
11:05:56,37.93,3,14,38.26_38.27_42.84_42.85_,10_10_1_2_,38.08_37.88_37.87_37.86_37.20_,5_10_10_10_4_
11:06:58,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,38.15_37.95_37.94_37.93_37.20_,5_10_10_10_4_
11:08:04,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,38.08_37.95_37.94_37.93_37.20_,5_10_10_10_4_
11:08:09,37.93,3,14,38.26_38.27_42.84_42.85_,10_10_1_2_,38.15_37.88_37.87_37.86_37.20_,5_10_10_10_4_
11:08:20,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,38.15_37.95_37.94_37.93_37.20_,5_10_10_10_4_
11:08:25,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,38.08_37.95_37.94_37.93_37.20_,5_10_10_10_4_
11:08:30,37.93,3,14,38.26_38.27_42.84_42.85_,10_10_1_2_,38.08_37.88_37.87_37.86_37.20_,5_10_10_10_4_
11:08:40,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,38.15_37.95_37.94_37.93_37.20_,5_10_10_10_4_
11:09:57,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,38.14_37.94_37.93_37.92_37.20_,5_10_10_10_4_
11:10:02,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,38.15_37.95_37.94_37.93_37.20_,5_10_10_10_4_
11:12:00,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,38.15_37.95_37.94_37.93_37.20_,5_10_10_10_4_
11:12:20,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,38.15_37.95_37.94_37.93_37.20_,5_10_10_10_4_
11:14:44,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,38.15_37.94_37.93_37.92_36.80_,5_10_10_10_5_
11:14:49,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,38.15_37.95_37.94_37.93_36.80_,5_10_10_10_5_
11:15:20,37.93,3,14,38.26_38.27_42.84_42.85_,10_10_1_2_,38.08_37.88_37.87_37.86_36.80_,5_10_10_10_5_
11:15:25,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,38.08_37.95_37.94_37.93_36.80_,5_10_10_10_5_
